# SHSynth 球谐综合结果  系数=shkit_coeffs.sh  nmax=12  高斯平滑=0 km  物理量=unknown
# shsynth_meta {"source_coeffs": "shkit_coeffs.sh", "source_coeffs_path": "D:\\华为家庭存储\\1_Joe Science Data\\1_1_GRACE\\1_data\\2_Level-2\\SHKit\\shkit_coeffs.sh", "nmax": 12, "coeff_nmax": 12, "ntime": 1, "time_index": 0, "field_unit_in": "unknown", "field_unit_out": "unknown", "gaussian_km": 0.0, "gaussian_method": null, "units": null, "producer": "SHSynth"}
lat,lon,value
7.5,93,-1.918596692
7.5,93.5,-1.899612295
7.5,94,-1.880457601
7.5,94.5,-1.861119401
7.5,95,-1.84158472
7.5,95.5,-1.821840961
7.5,96,-1.801876051
7.5,96.5,-1.781678581
7.5,97,-1.761237952
7.5,97.5,-1.7405445
7.5,98,-1.719589633
7.5,98.5,-1.698365952
7.5,99,-1.676867368
7.5,99.5,-1.655089213
7.5,100,-1.63302834
7.5,100.5,-1.610683218
7.5,101,-1.588054015
7.5,101.5,-1.565142673
7.5,102,-1.541952969
7.5,102.5,-1.518490568
7.5,103,-1.494763065
7.5,103.5,-1.470780013
7.5,104,-1.446552937
7.5,104.5,-1.422095339
7.5,105,-1.397422686
7.5,105.5,-1.372552389
7.5,106,-1.347503763
7.5,106.5,-1.322297977
7.5,107,-1.296957989
7.5,107.5,-1.271508469
7.5,108,-1.245975701
7.5,108.5,-1.220387486
7.5,109,-1.194773016
7.5,109.5,-1.169162745
7.5,110,-1.143588245
7.5,110.5,-1.118082052
7.5,111,-1.092677498
7.5,111.5,-1.067408535
7.5,112,-1.042309549
7.5,112.5,-1.017415169
7.5,113,-0.9927600615
7.5,113.5,-0.968378727
7.5,114,-0.9443052868
7.5,114.5,-0.9205732683
7.5,115,-0.8972153875
7.5,115.5,-0.8742633318
7.5,116,-0.8517475427
7.5,116.5,-0.8296970017
7.5,117,-0.8081390199
7.5,117.5,-0.7870990339
7.5,118,-0.7666004078
7.5,118.5,-0.7466642449
7.5,119,-0.7273092098
7.5,119.5,-0.708551362
7.5,120,-0.6904040035
7.5,120.5,-0.6728775402
7.5,121,-0.6559793611
7.5,121.5,-0.6397137331
7.5,122,-0.624081716
7.5,122.5,-0.6090810961
7.5,123,-0.5947063404
7.5,123.5,-0.5809485725
7.5,124,-0.5677955697
7.5,124.5,-0.5552317829
7.5,125,-0.5432383788
7.5,125.5,-0.5317933044
7.5,126,-0.5208713747
7.5,126.5,-0.5104443819
7.5,127,-0.5004812267
7.5,127.5,-0.4909480709
7.5,128,-0.4818085097
7.5,128.5,-0.4730237634
7.5,129,-0.4645528878
7.5,129.5,-0.4563530001
7.5,130,-0.4483795206
7.5,130.5,-0.4405864279
7.5,131,-0.4329265251
7.5,131.5,-0.4253517167
7.5,132,-0.4178132919
7.5,132.5,-0.4102622143
7.5,133,-0.4026494148
7.5,133.5,-0.3949260849
